reference_number,procurement_id,vendor_name,vendor_postal_code,buyer_name,contract_date,economic_object_code,description_en,description_fr,contract_period_start,delivery_date,contract_value,original_value,amendment_value,comments_en,comments_fr,additional_comments_en,additional_comments_fr,agreement_type_code,trade_agreement,land_claims,commodity_type,commodity_code,country_of_vendor,solicitation_procedure,limited_tendering_reason,trade_agreement_exceptions,aboriginal_business,aboriginal_business_incidental,intellectual_property,potential_commercial_exploitation,former_public_servant,contracting_entity,standing_offer_number,instrument_type,ministers_office,number_of_bids,article_6_exceptions,award_criteria,socioeconomic_indicator,reporting_period,record_created,record_modified,user_modified,owner_org,owner_org_title
C-2017-2018-Q2-00005,80000610,CANON CANADA INC.,,,2017-08-03,588,Rental of computer equipment related to Distributed Computing Environment (DCE) ,Location d'équipement de l'environnement d'informatique répartie (EIR) ,2017-03-08,2023-03-31,357520.7,357520.7,0,,,,,,,,S,WL36,CA,TC,,0,,N,B,N,N,,SSCSOSA,EZ107-120003/002/VAN,,,,,,C,,,*,ec,
C-2017-2018-Q2-00075,3000621758,ALTIS HUMAN RESOURCES (OTTAWA) INC.,,,2017-08-03,813,Temporary help services,Services d'aide temporaire,2016-09-13,2018-02-02,202139.24,54317.64,69255,,,Amendment to previously disclosed contract,Modification à un contrat divulgué antérieurement,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,EN578-060502/141/ZT,,,,,,A,,,*,ec,
C-2017-2018-Q2-00089,3000644054,COMMISSIONAIRES OTTAWA (CCIDS),,,2017-08-07,460,Protection services,Services de protection,2017-11-05,2017-08-18,44962.96,17178.99,27783.97,,,Commissionaire services ,Services de commissionnaire,,,,S,K105,CA,TC,,0,,N,C,,N,,PSPCSOSA,EN578-160553/001/ZL,,,,,,A,,,*,ec,
C-2017-2018-Q2-00333,3000649929,PRA INC.,,,2017-08-07,491,Management consulting,Services de conseillers en gestion,2017-07-08,2018-03-31,45765,45765,0,,,Evaluation Services Consultant,Consultant en services d'évaluation,,,,S,R121,CA,TC,,0,,N,A41,N,N,,PSPCSOSA,E60ZT-120001/284/ZT,,,,,,C,,,*,ec,
C-2017-2018-Q2-00338,3000649963,PRAXAIR CANADA INC.,,,2017-08-08,1139,Miscellaneous Chemical products,Produits chimiques divers,2017-08-08,2017-09-30,10890.6,10890.6,0,,,,,,,,G,3655,CA,TC,,0,,N,C,,N,,PSPCSOSA,ET959-171496/001/WPG,,,,,,C,,,*,ec,
C-2017-2018-Q2-00171,3000648352,AKLAK INC,,,2017-08-08,561,Rental of aircraft,Location d'aéronefs,2017-08-08,2017-09-08,27825,27825,0,,,,,R,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/410/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00328,3000649846,ALTIS HUMAN RESOURCES (OTTAWA) INC.,,,2017-08-08,813,Temporary help services,Services d'aide temporaire,2017-08-08,2018-06-07,61099.34,61099.34,0,,,Temporary Workload Increase,Augmentation de la charge de travail,,,,S,R201,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60ZN-110002/022/ZN,,,,,,C,,,*,ec,
C-2017-2018-Q2-00341,3000649988,TELECOM COMPUTER INC.,,,2017-08-08,1283,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable ,Équipement informatique de l'environnement d'informatique répartie - Bureau/OP/ord. portable  ,2017-08-08,2018-03-31,12579,12579,0,,,,,,,,G,7020,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60EJ-11000C/020/EJ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00203,3000648656,REGROUPEMENT QUEBECOISEAUX,,,2017-08-10,430,Scientific services,Services scientifiques,2017-10-08,2017-12-31,59884.73,59884.73,0,,,,,,,,S,B203,CA,TC,,0,,N,A41,N,Y,Y,N/A,,,,,,,C,,,*,ec,
C-2017-2018-Q2-00361,3000650236,SLATE FALLS AIRWAYS (1999) INC.,,,2017-08-10,561,Rental of aircraft,Location d'aéronefs,2017-10-08,2017-09-30,15820,15820,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/425/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00363,3000650245,CANADIAN CORPS OF COMMISSIONAIRES,,,2017-08-11,460,Protection services,Services de protection,2017-11-08,2017-12-15,42000,42000,0,,,,,,,,S,K105,CA,TC,,0,,N,C,,N,,PSPCSOSA,EN578-160553/001/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00276,3000649366,EXPEDITION HELICOPTER INC.,,,2017-08-11,561,Rental of aircraft,Location d'aéronefs,2017-07-28,2017-09-30,50850,39550,11300,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/293/ZL,,,,,,A,,,*,ec,
C-2017-2018-Q2-00358,3000650211,IHS GLOBAL CANADA LTD,,,2017-08-11,1143,"Printed matter, including books, newspapers, pictures, manuscripts and forms","Matière imprimée, incluant livres, journaux, images, textes, manuscrits et formules",2017-11-08,2018-03-31,14053.93,14053.93,0,,,,,,,,S,R107,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60PI-150003/001/PI,,,,,,C,,,*,ec,
C-2017-2018-Q2-00376,3000650335,GILLAM AIR SERVICES,,,2017-08-14,210,Transportation of things not elsewhere specified,Transports d'objets non spécifiés ailleurs,2017-08-14,2017-10-31,14275.63,13697.25,0,,,,,,,,S,V403,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/301/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00374,3000650318,PERIMETER AVIATION LP,,,2017-08-14,561,Rental of aircraft,Location d'aéronefs,2017-08-14,2017-08-31,82670.24,82670.24,0,,,,,,,,S,V200,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/352/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00375,3000650332,8199400 CANADA INC.,,,2017-08-14,561,Rental of aircraft,Location d'aéronefs,2017-08-14,2017-10-31,48109.54,48109.54,0,,,,,,,,S,V200,CA,TC,,0,,N,C,,N,,N/A,E60SQ-020001/412/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00026,20171761A,MIT INC,,,2017-08-14,658,"Electric lighting, distribution and control equipment","Matériel d'éclairage, de contrôle et de distribution d'électricité",2017-08-14,2018-06-30,1207180.03,1207180.03,0,,,,,Y,,,C,5164,CA,TC,,0,,N,C,,N,,N/A,K4C20-171761/001/MTC,,,,,,C,,,*,ec,
C-2017-2018-Q2-00332,3000649926,GLOBAL UPHOLSTERY CO. INC.,,,2017-08-14,1231,"Office furniture and furnishings, including parts",Mobilier et ameublement du bureau incluant des pièces,2017-08-14,2017-11-30,17446.87,17446.87,0,,,,,,,,C,5177,CA,TN,85,0,,N,C,,N,,PSPCSOSA,E60PQ-140003/32/PQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00091,3000644496,ALTIS HUMAN RESOURCES,,,2017-08-16,813,Temporary help services,Services d'aide temporaire,2017-05-23,2018-03-31,32342.72,10680.62,21662.1,,,Amendment to previously disclosed contract,Modification à un contrat divulgué antérieurement,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,E6TOR-13RM38/030/TOR,,,,,,A,,,*,ec,
C-2017-2018-Q2-00394,3000650724,NORTH SHORE INVESTIGATION SERVICES,,,2017-08-21,491,Management consulting,Services de conseillers en gestion,2017-08-21,2017-12-29,11136.15,11136.15,0,,,Harassment Investigation,Enquête sur le harcèlement,,,,S,R019,CA,TC,,0,,N,A41,N,Y,Y,PSPCSOSA,E60ZG-100004/019/ZG,,,,,,C,,,*,ec,
C-2017-2018-Q2-00590,7200001487,S.I. SYSTEMS,,,2017-08-17,473,Information technology and telecommunications consultants,Consultants en TI et en télécommunications,2017-06-26,2018-03-31,74503.8,37251.9,37251.9,,,Amendment to previously disclosed contract,Modification à un contrat divulgué antérieurement,,,,S,D302,CA,TC,,0,,N,A43,N,N,,PSPCSOSA,EN578-170432/251/EI,,,,,,A,,,*,ec,
C-2017-2018-Q2-00391,3000650637,HELICOPTERES CANADIENS LIMITEE,,,2017-08-18,561,Rental of aircraft,Location d'aéronefs,2017-08-18,2018-03-31,26299.38,26299.38,0,,,,Installation de systèmes de surveillance de gaz,,,,S,AS11,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/055/SQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00390,3000650610,NORTH SHORE INVESTIGATION SERVICES,,,2017-08-21,491,Management consulting,Services de conseillers en gestion,2017-08-21,2017-12-29,10250.5,10250.5,0,,,Harassment Investigation,Enquête sur le harcèlement,,,,S,R019,CA,TC,,0,,N,A41,N,Y,Y,PSPCSOSA,E60ZG-100004/019/ZG,,,,,,C,,,*,ec,
C-2017-2018-Q2-00397,3000650742,UNIVERSAL HELICOPTERS,,,2017-08-21,561,Rental of aircraft,Location d'aéronefs,2017-08-21,2017-10-31,78200,78200,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/424/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00388,3000650600,ALTIS HUMAN RESOURCES INC.,,,2017-08-21,813,Temporary help services,Services d'aide temporaire,2017-08-21,2018-03-31,28340.4,28340.4,0,,,Temporary Workload Increase,Augmentation de la charge de travail,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60TOR-16RM02/026/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00398,3000650748,GLOBAL UPHOLSTERY CO. INC.,,,2017-08-21,1231,"Office furniture and furnishings, including parts",Mobilier et ameublement du bureau incluant des pièces,2017-08-21,2017-12-31,15387.92,15387.92,0,,,,,,,,C,5177,CA,TN,85,0,,N,C,,N,,PSPCSOSA,E60PQ-140003/32/PQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00061,20180499A,GENERAL MOTORS OF CANADA LTD.,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,51707.78,51707.78,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/001/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00414,3000650959,PRAIRIE HELICOPTERS INC.,,,2017-08-23,561,Rental of aircraft,Location d'aéronefs,2017-08-23,2017-10-31,97022.1,97022.1,0,,,,,,,,S,V403,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/289/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00062,20180500A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,50912.23,50912.23,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00063,20180501A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,50903.6,50903.6,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00058,20180494A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,50645.43,50645.43,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00059,20180497A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,45768.96,45768.96,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00057,20180493A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,45615.28,45615.28,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00064,20180502A,GENERAL MOTORS OF CANADA LTD.,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,41788.47,41788.47,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/001/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00056,20180492A,GENERAL MOTORS OF CANADA LTD.,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,32471.12,32471.12,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/001/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00060,20180498A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-23,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-23,2018-03-31,30213.38,30213.38,0,,,,,,,,G,2310,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00420,3000650996,CO-ENTREPRISE CITE/CARON,,,2017-08-24,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,"Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2017-08-24,2018-03-31,65113.79,65113.79,0,,,,,,,,S,U099,CA,TC,,0,,N,C,,N,,PSPCSOSA,E6MON-130001/003/MTA,,,,,,C,,,*,ec,
C-2017-2018-Q2-00424,3000651006,UNIVERSITE DE SAINT-BONIFACE,,,2017-08-24,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,"Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2017-08-24,2018-03-31,10050,10050,0,,,,,,,,S,U099,CA,TC,,0,,N,B,N,N,,PSPCSOSA,ET959-140856/010/WPG,,,,,,C,,,*,ec,
C-2017-2018-Q2-00432,3000651059,2320127 ONTARIO INC.,,,2017-08-24,561,Rental of aircraft,Location d'aéronefs,2017-08-24,2017-10-31,74580,65540,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/425/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00425,3000651015,TRANSWEST AIR,,,2017-08-24,561,Rental of aircraft,Location d'aéronefs,2017-08-24,2017-08-30,15750,15750,0,,,,,,,,S,AS11,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/001/SQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00430,3000651053,AIR LIQUIDE CANADA INC.,,,2017-08-24,1139,Miscellaneous Chemical products,Produits chimiques divers,2017-08-24,2017-09-29,21230.44,21230.44,0,,,,,,,,S,K103,CA,TC,,0,,N,C,,N,,PSPCSOSA,KM487-131130/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00066,20180507A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-24,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-24,2018-03-31,42112.35,42112.35,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,N/A,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00065,20180506A,FORD MOTOR COMPANY OF CANADA LIMITED,,,2017-08-24,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-24,2018-03-31,40915.61,40915.61,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/002/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00068,20180510A,GENERAL MOTORS OF CANADA LTD.,,,2017-08-24,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-24,2018-03-31,36980.95,36980.95,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/001/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00067,20180509A,GENERAL MOTORS OF CANADA LTD.,,,2017-08-24,1261,Road motor vehicles,Véhicules automobiles de route,2017-08-24,2018-03-31,36980.95,36980.95,0,,,,,,,,G,2320,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60HP-16DS01/001/HP,,,,,,C,,,*,ec,
C-2017-2018-Q2-00008,80000647,MISHKUMI TECHNOLOGIES INC.,,,2017-08-24,1283,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable ,Équipement informatique de l'environnement d'informatique répartie - Bureau/OP/ord. portable  ,2017-08-24,2017-07-09,16612.74,16612.74,0,,,,,,,,G,7010,CA,TC,,0,,N,C,,N,,SSCSOSA,E60EJ-11000C/017/EJ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00444,3000651136,FOREST HELICOPTERS INC.,,,2017-08-25,561,Rental of aircraft,Location d'aéronefs,2017-08-25,2017-10-31,11300,11300,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/074/SQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00412,3000650947,"KELLY SERVICES (CANADA), LTD.",,,2017-08-25,813,Temporary help services,Services d'aide temporaire,2017-08-25,2017-12-22,18212.04,18212.04,0,,,Temporary Workload Increase,Augmentation de la charge de travail,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,E6MON-150004/008/MTB,,,,,,C,,,*,ec,
C-2017-2018-Q2-00441,3000651119,LES GAZ SPECIAUX MEGS INC.,,,2017-08-25,1139,Miscellaneous Chemical products,Produits chimiques divers,2017-08-25,2018-03-31,14562.45,14562.45,0,,,,,,,,G,8120,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3C32-133040/001/HL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00445,3000651145,BERLITZ CANADA INC.,,,2017-08-28,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,"Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2017-08-28,2018-03-27,17280,17280,0,,,,,,,,S,U099,CA,TC,,0,,N,C,,N,,PSPCSOSA,EN578-093429/025/ZF,,,,,,C,,,*,ec,
C-2017-2018-Q2-00254,3000649186,GROOM ET ASSOCIES LTEE,,,2017-08-28,813,Temporary help services,Services d'aide temporaire,2017-08-28,2018-03-31,36792,36792,0,,,Temporary Workload Increase,Augmentation de la charge de travail,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,E6MON-150004/005/MTB,,,,,,C,,,*,ec,
C-2017-2018-Q2-00453,3000651278,HELI-TRANSPORT INC,,,2017-08-29,561,Rental of aircraft,Location d'aéronefs,2017-08-29,2017-10-31,49660,45648.52,0,,,,,,,,S,V200,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/092/SQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00452,3000651276,FTS FOREST TECHNOLOGY SYSTEMS LTD,,,2017-08-29,1243,"Measuring, controlling, laboratory, medical and optical equipment and parts","Instruments de mesure, de contrôle, de laboratoire-Instruments de médecine et d'optique",2017-08-29,2018-03-31,22659,22659,0,,,,,,,,G,6660,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3D35-160849/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00456,3000651307,CAMPBELL SCIENTIFIC CANADA CORP,,,2017-08-30,660,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories","Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",2017-08-30,2017-12-30,19587.31,19587.31,0,,,,,,,,S,JX66,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3D33-17-1053/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00464,3000651383,CAMPBELL SCIENTIFIC CANADA CORP,,,2017-08-31,660,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories","Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",2017-08-31,2018-12-31,13527.73,13527.73,0,,,,,,,,S,JX66,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3D33-17-1053/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00455,3000651305,EXCEL HUMAN RESOURCES (OTTAWA) INC.,,,2017-08-31,813,Temporary help services,Services d'aide temporaire,2017-08-31,2017-12-22,10113.2,10113.2,0,,,Temporary Workload Increase,Augmentation de la charge de travail,,,,S,R199,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60ZN-110002/046/ZN,,,,,,C,,,*,ec,
C-2017-2018-Q2-00469,3000651464,AURORA HELICOPTERS LTD,,,2017-09-01,561,Rental of aircraft,Location d'aéronefs,2017-01-09,2017-10-31,99750,99750,0,,,,,,,,S,V200,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/225/ZH,,,,,,C,,,*,ec,
C-2017-2018-Q2-00287,3000649448,HELI-LIFT INTERNATIONAL INC,,,2017-09-01,561,Rental of aircraft,Location d'aéronefs,2017-01-09,2017-11-30,78750,78750,0,,,,,,,,S,AS11,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/089/SQ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00443,3000651126,CANON CANADA INC.,,,2017-09-01,588,Rental of computer equipment related to Distributed Computing Environment (DCE) ,Location d'équipement de l'environnement d'informatique répartie (EIR) ,2017-01-09,2022-08-31,279775.59,279775.59,0,,,,,,,,S,WL36,CA,TC,,0,,N,C,,N,,PSPCSOSA,EZ107-120003/002/VAN,,,,,,C,,,*,ec,
C-2017-2018-Q2-00006,80000615,XEROX CANADA LTD.,,,2017-09-01,588,Rental of computer equipment related to Distributed Computing Environment (DCE) ,Location d'équipement de l'environnement d'informatique répartie (EIR) ,2017-01-09,2022-06-30,19986.31,19986.31,0,,,,,,,,S,WL36,CA,TC,,0,,N,C,,N,,SSCSOSA,EZ107-070001/011/VAN,,,,,,C,,,*,ec,
C-2017-2018-Q2-00406,3000650894,TIPPET-RICHARDSON LIMITED,,,2017-09-01,859,Other Business services not Elsewhere Specified,Autres services commerciaux qui ne sont pas précisés ailleurs,2017-01-09,2020-08-31,402412.58,402412.58,0,,,Moving Services in the National Capital Region,Services de déménagement dans la région de la capitale nationale,,,,S,AT91,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60LM-160030,,,,,,C,,,*,ec,
C-2017-2018-Q2-00480,3000651562,EXPEDITION HELICOPTER INC.,,,2017-09-05,561,Rental of aircraft,Location d'aéronefs,2017-05-09,2017-10-31,39550,22600,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/293/ZL,,,,,,C,,,*,ec,
C-2017-2018-Q2-00316,3000649793,HEARST AIR SERVICE LTD,,,2017-09-04,561,Rental of aircraft,Location d'aéronefs,2017-04-09,2017-10-20,50850,50850,0,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/204/ZH,,,,,,C,,,*,ec,
C-2017-2018-Q2-00098,3000646517,CO-ENTREPRISE CITE/CARON,,,2017-09-05,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,"Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2017-05-09,2017-11-24,17157,17157,0,,,,,,,,S,U099,CA,TC,,0,,N,B,N,N,,PSPCSOSA,E6MON-130001/001/MTA,,,,,,C,,,*,ec,
C-2017-2018-Q2-00479,3000651557,AURORA HELICOPTERS LTD,,,2017-09-05,561,Rental of aircraft,Location d'aéronefs,2017-05-09,2017-10-31,43050,43050,0,,,,,,,,S,V200,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/225/ZH,,,,,,C,,,*,ec,
C-2017-2018-Q2-00084,3000637809,ALTIS HUMAN RESOURCES (OTTAWA) INC,,,2017-09-05,813,Temporary help services,Services d'aide temporaire,2017-06-03,2018-02-02,52965.99,26297.15,26668.84,,,Amendment to previously disclosed contract,Modification à un contrat divulgué antérieurement,,,,S,W100,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60ZN-110002/046/ZN,,,,,,A,,,*,ec,
C-2017-2018-Q2-00484,3000651604,FTS FOREST TECHNOLOGY SYSTEMS LTD,,,2017-09-06,1243,"Measuring, controlling, laboratory, medical and optical equipment and parts","Instruments de mesure, de contrôle, de laboratoire-Instruments de médecine et d'optique",2017-06-09,2018-03-31,58653,58653,0,,,,,,,,G,6680,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3D35-160849/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00009,80000667,ITEX INC.,,,2017-09-08,673,Computer equipment related to Distributed Computing Environment (DCE)-Desktop/personal/portable ,Équipement de l'environnement d'informatique répartie (EIR)-Bureau/OP/ord. portable  ,2017-08-09,2017-09-29,10921.55,10921.55,0,,,,,,,,S,JX70,CA,TC,,0,,N,C,,N,,SSCSOSA,E60EJ-111000C/001/EJ,,,,,,C,,,*,ec,
C-2017-2018-Q2-00495,3000651838,VWR INTERNATIONAL LTD.,,,2017-09-08,1179,Miscellaneous manufactured articles,Marchandises et produits divers,2017-08-09,2017-10-13,13395.6,13395.6,0,,,,,,,,G,6640,CA,TN,85,0,,N,C,,N,,N/A,E60PV-16LS00/002/PV,,,,,,C,,,*,ec,
C-2017-2018-Q2-00492,3000651762,FTS FOREST TECHNOLOGY SYSTEMS LTD,,,2017-09-08,1243,"Measuring, controlling, laboratory, medical and optical equipment and parts","Instruments de mesure, de contrôle, de laboratoire-Instruments de médecine et d'optique",2017-08-09,2018-11-03,68544,68544,0,,,,,,,,G,6680,CA,TC,,0,,N,C,,N,,PSPCSOSA,K3E35-160849/001/TOR,,,,,,C,,,*,ec,
C-2017-2018-Q2-00094,3000646342,CO-ENTREPRISE CITE/CARON,,,2017-09-11,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,"Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2017-11-09,2018-03-31,24940,24940,0,,,,,,,,S,D317,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60MON-130001/004/MTA,,,,,,C,,,*,ec,
C-2017-2018-Q2-00468,3000651457,IBISKA TELECOM INC.,,,2017-09-11,473,Information technology and telecommunications consultants,Consultants en TI et en télécommunications,2017-11-09,2018-07-13,150635.22,150635.22,0,,,Telecommunications Analyst,Analyste des télécommunications,,,,S,D399,CA,TC,,0,,N,C,,N,,PSPCSOSA,EN578-060502/182/ZT,,,,,,C,,,*,ec,
C-2017-2018-Q2-00481,3000651562,EXPEDITION HELICOPTER INC.,,,2017-09-11,561,Rental of aircraft,Location d'aéronefs,2017-05-09,2017-10-31,39550,22600,16950,,,,,,,,S,V203,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/293/ZL,,,,,,A,,,*,ec,
C-2017-2018-Q2-00589,7200001328,ADRM TEC,,,2017-09-12,812,Computer services (includes IT solutions/deliverables as well as IT managed services),Services informatiques (comprend les solutions et les produits en TI et les services gérés dans les TI),2017-01-16,2018-08-31,302246.29,127967.18,174279.11,,,Amendment to previously disclosed contract,Modification à un contrat divulgué antérieurement,,,,S,D302,CA,OB,,0,,N,A41,N,N,,PSPCSOSA,EN578-170432/A,,,,,,A,,,*,ec,
C-2017-2018-Q2-00362,3000650243,AIR TINDI LTD.,,,2017-09-13,561,Rental of aircraft,Location d'aéronefs,2017-09-13,2017-09-15,19950,19950,0,,,,,R,,,S,AS11,CA,TC,,0,,N,C,,N,,PSPCSOSA,E60SQ-020001/027/SQ,,,,,,C,,,*,ec,
